Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
68,0.0000,26,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
70,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
72,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
74,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
76,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
78,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
80,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
82,0.0000,8,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
84,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
86,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
88,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
90,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
92,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
94,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
96,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
98,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
100,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
102,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
104,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
106,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
108,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
110,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
112,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
114,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
116,0.0000,9,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
118,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
120,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
122,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
124,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
126,0.0000,25,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
128,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
130,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
132,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
134,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
136,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
138,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
140,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
142,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
144,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
146,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
148,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
150,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
152,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
154,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
156,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
158,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
160,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
162,0.0000,10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
164,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
166,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
168,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
170,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
172,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
174,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
176,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
178,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
180,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
182,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
184,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
186,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
188,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
190,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
