Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
395,0.0000,9,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
397,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
399,0.0000,9,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
401,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
403,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
405,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
407,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
409,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
411,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
413,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
415,0.0000,25,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
417,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
419,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
421,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
