Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
1.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
2.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
3.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
4.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
7.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
8.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
9.08,0.0000,52.59,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
11.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
26.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
27.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
28.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
29.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
30.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
31.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
32.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
33.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
34.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
35.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
36.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
37.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
38.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
39.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
40.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
41.08,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
42.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
43.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
44.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
45.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
46.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
47.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
48.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
49.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
50.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
51.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
52.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
53.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
54.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
55.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
56.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
57.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
58.07,0.0000,52.58,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
