Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
128,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
130,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
132,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
134,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
136,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
138,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
140,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
142,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
144,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
146,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
148,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
150,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
152,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
154,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
156,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
158,0.0000,10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
160,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
162,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
164,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
166,0.0000,10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
168,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
170,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
172,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
174,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
176,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
178,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
180,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
182,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
184,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
186,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
188,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
190,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
192,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
196,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
198,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
200,0.0000,10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
202,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
204,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
206,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
208,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
210,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
212,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
214,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
216,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
218,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
220,0.0000,8,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
222,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
224,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
226,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
228,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
230,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
232,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
234,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
236,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
238,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
240,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
242,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
244,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
246,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
248,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
250,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
252,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
254,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
256,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
258,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
260,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
262,0.0000,9,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
264,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
266,0.0000,10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
268,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
270,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
272,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
274,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
276,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
278,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
280,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
282,0.0000,21,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
284,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
286,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
288,0.0000,11,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
290,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
292,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
294,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
296,0.0000,9,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
298,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
300,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
302,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
304,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
306,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
308,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
310,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
312,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0
