Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
32.91,0.01296,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
41.04,0.0129,50.02,0.0,0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
42.66,0.0129,50.02,0.0,0.00,0.0000,0.0,0.0,0,0.,0.99,0.00,0.00,"1
"
46.12,0.0.00,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
59.32,0.01,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
60.95,0.0129,49.86,0.0,0.00,0.0000,,0,0.0,0.00,0.99,0.00,0.00,"1
"
67.46,0.0129,49.71,0.0,0.00,0..0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
75.78,0.0129,49.71,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,"0.001
"
85.73,0.0129,49.56,0.0,0.00,.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
92.23,0.0129,49.56,0.0,000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
97.31,0.055,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
98.93,0.0129,49.55,0.0,0.00,0.000,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
100.56,0.0129,49.54,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,,0.00,"1
"
110.51,9.41,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
120.26,0.0129,49.40,0.0,0.00,0.0000,0.0,0.0,0,0.0,99,0.00,0.00,"1
"
123.72,0.38,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
126.97,0.0129,49.29,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,00,"1
"
131.84,0.0129,49.25,0.0,0.000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
143.62,0.0129,49,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
150.12,0.0129,49.25,0.0,.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
156.82,0.0129,0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
163.32,0.0129,49.11,0.0,0.000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
164.95,0.0129,49.11,0.0,0.00,0.0000,0.0,0.0,0,0.0,,0.00,0.00,"1
"
173.27,0.0129,49.10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,"0.01
"
176.52,0.0129,49.11,0.0,0.00,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
183.23,0.0129,49.10,,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
186.48,0.0129,49.10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,"0.1
"
189.73,0.0129,49.10,0.0,0.00,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
191.36,0.0129,49.10,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0,0.00,"1
"
196.24,0.0129,49.10,0.0,000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
201.33,0.0129,0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00,"1
"
