Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
1.79,1.6879,52.32,-7.4,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
2.2,1.6870,52.32,-7.4,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
2.62,1.6867,52.32,-7.4,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
3.03,1.6864,52.32,-7.4,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
3.23,1.6861,52.32,-7.4,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
3.44,1.6859,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
3.85,1.6853,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
4.06,1.6853,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
4.47,1.6848,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.09,1.6843,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.3,1.6840,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.51,1.6840,52.17,-6.2,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.72,1.6839,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
5.93,1.6838,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.14,1.6838,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.34,1.6837,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.55,1.6836,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.76,1.6836,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
6.96,1.6834,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
7.17,1.6833,51.25,-2.9,0.00,0.0000,0.0,0n0,,0o0,0.00,0.99,0.00,0.00
7.38,1.6833,51.25,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
7.99,1.6831,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
8.2,1.6831,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
8.4,1.6832,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
8.61,1.6833,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
8.82,1.6833,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
9.43,1.6834,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
9.64,1.6835,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
9.85,1.6836,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.05,1.6836,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.26,1.6836,49.67,1.8,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.47,1.6835,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.68,1.6835,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
10.88,1.6834,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
11.3,1.6830,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
11.5,1.6829,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
11.71,1.6829,51.04,-2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
11.92,1.6828,51.04,-2.9,0.00,0.0000,06827,51.04,-2.9,0.00,0.000000,0.99,0.00,0.00
12.33,1.6826,50.46,-0.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
12.75,1.6826,50.46,-0.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.16,1.6825,50.46,-0.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
13.57,1.6825,50.46,-0.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.4,1.6829,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.6,1.6831,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
14.81,1.6831,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.02,1.6833,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.22,1.6835,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.64,1.6838,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
15.85,1.6840,48.37,5.5,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.27,1.6842,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.48,1.6842,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.69,1.6842,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
16.89,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.1,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.31,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.52,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.73,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
17.94,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.15,1.6843,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.36,1.6844,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.57,1.6844,49.71,0.7,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.78,1.6845,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
18.99,1.6846,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.19,1.6846,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.4,1.6847,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.61,1.6848,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
19.82,1.6848,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.03,1.6849,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.23,1.6850,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.44,1.6851,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.65,1.6851,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
20.86,1.6852,49.07,2.9,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.28,1.6861,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.49,1.6865,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.7,1.6865,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
21.91,1.6869,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.12,1.6873,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.33,1.6873,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.53,1.6878,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.74,1.6882,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
22.95,1.6882,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.16,1.6886,46.33,10.6,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.37,1.6886,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.58,1.6886,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
23.79,1.6886,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.0,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.21,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.42,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.62,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
24.83,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
25.04,1.6885,49.78,-0.3,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
