Sec,Ah,V,A,S,D,Deg,RPM,HW,Nm,ThI,ThO,Acc,Lim
821,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
823,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
825,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
827,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
829,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
831,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
833,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
835,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
837,0.0000,13,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
839,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
841,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
843,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
845,0.0000,20,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
847,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
849,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
851,0.0000,23,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
853,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
855,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
857,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
859,0.0000,22,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
861,0.0000,14,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
863,0.0000,18,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
865,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
867,0.0000,25,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
869,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
871,0.0000,26,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
873,0.0000,17,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
875,0.0000,16,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
877,0.0000,12,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
879,0.0000,24,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
881,0.0000,19,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
883,0.0000,15,0.0,0.00,0.0000,0.0,0.0,0,0.0,0.00,0.99,0.00,0.00
